;doc;source;author;title;year;period;text_type;sentence;collocation;translation;use;!
8511;LLChelli2.txt;Liber Liber;Gaetano Carlo Chelli;Fabia;1886.0;1851-1900;prosa letteraria;['certo, la era terribilmente pallida ed il solo vederla avrebbe provato come il suo cuore fosse ormai familiare ad ogni maniera di affanno.'];terribilmente pallido;natürlich war sie furchtbar bleich, und schon ihr Anblick würde beweisen, wie ihr Herz nun mit allen möglichen Schwierigkeiten vertraut war;BU;
8515;Teatro.V.28.Testo.txt;MIDIA;Arrigo Boito;Otello;1887.0;1851-1900;teatro;['otello  ergendosi e rivolto alla folla, terribilmente   fuggite!'];fuggire terribilmente;Othello, der aufsteht und sich an die Menge wendet, flieht fürchterlich;CU;
8522;diacorisVerdinois1.txt;DiaCoris;Federigo Verdinois (traduttore) / C. Dickens;Canticvo di Natale;1888.0;1851-1900;prosa letteraria;['anzi il nostro scrooge , che per verità il triste evento non aveva fatto terribilmente spasimare , si mostrò sottile uomo d   affari il giorno stesso dei funerali e lo solennizzò con un negozio co   fiocchi .'];terribilmente spasimare;ja unser Geizhals, dem das traurige Ereignis in Wahrheit keine furchtbaren Krämpfe verursacht hatte, zeigte sich am Tag der Beerdigung als magerer Geschäftsmann und beehrte ihn mit einem großen Geschäft;BU;
8522;diacorisVerdinois1.txt;DiaCoris;Federigo Verdinois (traduttore) / C. Dickens;Canticvo di Natale;1888.0;1851-1900;prosa letteraria;['udendo queste parole , lo spettro mise un altro strido e così terribilmente fece suonar la catena nel silenzio della notte , che la guardia avrebbe avuto ragione di multarlo come disturbatore notturno .'];terribilmente fare suonar;als der Geist diese Worte hörte, stieß er einen weiteren Schrei aus und ließ die Kette so schrecklich in der Stille der Nacht klingeln, dass die Wache ihn zu Recht als Nachtstörer bestraft hätte;CU;
8522;diacorisVerdinois1.txt;DiaCoris;Federigo Verdinois (traduttore) / C. Dickens;Canticvo di Natale;1888.0;1851-1900;prosa letteraria;['indietreggiò dal terrore , perché la scena era mutata ed ei toccava quasi un letto , un letto nudo , senza cortinaggio , sul quale , sotto un lenzuolo sdrucito , giaceva qualche cosa d   avviluppato , il cui silenzio stesso parlava terribilmente .'];parlare terribilmente;er wich erschrocken zurück, weil sich die Szene geändert hatte und er fast ein Bett berührte, ein nacktes Bett, ohne Vorhang, auf dem unter einem zerrissenen Laken etwas Eingewickeltes lag, dessen Schweigen selbst fürchterlich sprach;CU;
8530;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['io era terribilmente triste.'];terribilmente triste;ich war schrecklich traurig;NU;
8534;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['ma la corda penetrava nella carne ai polsi e martorizzava terribilmente le cavicchie.'];martorizzare terribilmente;aber das Seil durchdrang das Fleisch an den Handgelenken und quälte die Pflöcke fürchterlich;BU;!
8535;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Il Re prega: Romanzo;1889.0;1851-1900;prosa letteraria;['dopo aver terribilmente chiusi i denti fino a smussarli, egli aperse la bocca come un antro.'];terribilmente chiuso;nachdem er seine Zähne fürchterlich bis zum Stumpfen geschlossen hatte, öffnete er seinen Mund wie eine Höhle;CU;
8536;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;I suicidi di Parigi;1889.0;1851-1900;prosa letteraria;['sergio la seguì degli occhi, aggrottando terribilmente le sopracciglia, e sclamò lentamente:   se avessi potuto dubitare ancora, questa parola sarebbe bastata per'];aggrottare terribilmente;Sergio folgte ihrem Blick, runzelte fürchterlich die Stirn und schrie langsam: Wenn ich noch einmal hätte zweifeln können, hätte dieses Wort dazu gereicht;CU;
8538;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Memorie di Giuda, vol. II;1889.0;1851-1900;prosa letteraria;['diede in un grido ed accompagnata dai vicini che le facevano visita, si avanzò verso il rabbì che mi parve terribilmente preoccupato.'];terribilmente preoccupato;schrie sie auf und ging, begleitet von den Nachbarn, die sie besuchten, auf den Rabbi zu, der furchtbar besorgt zu sein schien;NU;
8542;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['incontravo sui margini delle strade dei gruppi di giovani, che ritornavano dall  esercito, laceri, dimagriti, terribilmente consumati dalla febbre, tremanti sotto un sole pesante, denso, giallastro, che divorava tutto ciò che toccava,'];terribilmente consumato;ich traf am Straßenrand Gruppen von jungen Männern, die von der Armee zurückkehrten, zerrissen, dünn, schrecklich vom Fieber zerfressen, zitternd unter einer schweren, dichten, gelblichen Sonne, die alles verschlang, was sie berührte;BU;
8543;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['arrivavano dunque terribilmente affamati ed esasperati da un digiuno di due mesi.'];terribilmente affamato;deshalb kamen sie schrecklich hungrig und gereizt von einem zweimonatigen Fasten an;NU;
8548;diacorisCapuana1.txt;DiaCoris;Luigi Capuana;Giacinta;1889.0;1851-1900;prosa letteraria;['la sua fanciullezza abbandonata le si aggravava sul cuore terribilmente , coi piú vivi particolari , rimescolandola tutta .'];aggravare terribilmente;ihre verlassene Kindheit lastete schrecklich auf ihrem Herzen, mit den lebhaftesten Details, die alles durcheinander brachten;BU;
8548;diacorisCapuana1.txt;DiaCoris;Luigi Capuana;Giacinta;1889.0;1851-1900;prosa letteraria;['lottava dentro di sé , terribilmente .'];lottare terribilmente;er kämpfte fürchterlich in seinem Inneren;BU;
8548;diacorisCapuana1.txt;DiaCoris;Luigi Capuana;Giacinta;1889.0;1851-1900;prosa letteraria;['e mentre la gentile figura d   elvira gli sorrideva pietosamente nella fantasia , come una bella visione inondata di mite luce argentea , ecco l   altra , quella di giacinta , che gli si piantava di faccia , muta , senza un gesto , terribilmente irta di rimproveri     che colpa n   aveva lui ?'];terribilmente irto;und während ihm die sanfte Gestalt der Elvira in seiner Vorstellung gnädig zulächelte, wie eine schöne, von mildem Silberlicht durchflutete Vision, da war ihm die andere, die der Hyazinthe, stumm, ohne Gebärde, furchtbar voller Vorwürfe ins Gesicht gepflanzt, war es seine Schuld?;CU;
8549;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Memorie di Giuda, vol. I;1889.0;1851-1900;prosa letteraria;['alzando il capo, vidi nel vano della porta pilato in piedi, gli occhi fissi e divaricati, terribilmente pallido, immobile.'];terribilmente pallido;als ich den Kopf hob, sah ich in der Tür Pilatus stehen, die Augen starr und weit auseinander, schrecklich bleich, bewegungslos;BU;
8552;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['eravamo scossi terribilmente .'];scossi terribilmente;wir waren furchtbar erschüttert;BU;
8554;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;I moribondi del Palazzo Carignano;1889.0;1851-1900;prosa letteraria;['il suo naso terribilmente rosso  diventava un carbone infiammato per beatitudine.'];terribilmente rosso;seine furchtbar rote Nase wurde zu einer vor Glück entzündeten Holzkohle;NU;
8555;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Il Concilio;1889.0;1851-1900;prosa letteraria;['essi erano già stati terribilmente trattati al concilio di reims       , in cui s. bernardo, divinamente feroce, aveva fatto condannare gilberto de la'];terribilmente trattato;Sie waren bereits auf dem Konzil von Reims furchtbar behandelt worden, in dem St. Bernardo, göttlich grausam, Gilberto verurteilt hatte;BU;
8557;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;[', a sua volta, anch  essa in furore, si metteva in moto di un sol pezzo, di un sol tratto, brontolava sordamente e poi terribilmente , si screpolava, si fiaccava, e delle montagne, sollevate dalle onde, portate sul loro dorso, solcavano lo spazio,'];brontolare terribilmente;auch in Wut setzte es sich mit einem Stück, mit einem Schlag in Bewegung, knurrte taub und dann fürchterlich…;CU;
8559;GBterribilmente.csv;Gutenberg; Ferdinando Petruccelli della Gattina;Le notti degli emigrati a Londra;1889.0;1851-1900;prosa letteraria;['lì, una siepe spessa, terribilmente irta di ronchi, mi concesse un ricovero.'];terribilmente irto;dort gewährte mir eine dichte Hecke, die fürchterlich von Stengeln übersät war, Schutz;BU;
8564;li1442.txt;CLiGS Ro;Ferdinando Petruccelli della Gattina;Il sorbetto della regina;1890.0;1851-1900;prosa letteraria;['il cronometro del sergente è terribilmente in ritardo.'];terribilmente in ritardo;die Uhr des Feldwebels geht furchtbar spät;NU;
8565;GBterribilmente.csv;Gutenberg; Ferdinand Gregorovius;Passeggiate per l''Italia, vol. 2;1890.0;1851-1900;prosa letteraria;['di cose durò fino all  anno     , nel quale gli abati, sino allora arbitri della forza e giurisdizione feudale, e di essa terribilmente armati, perdettero anche questo diritto.'];terribilmente armato;der Dinge dauerte bis zu dem Jahr, in dem die Äbte, bisher Schiedsrichter der feudalen Gewalt und Gerichtsbarkeit, und damit furchtbar bewaffnet, auch dieses Recht verloren;CU;
8585;GBterribilmente.csv;Gutenberg; Antonio Ghislanzoni;AbrakadabraL Storia dell''avvenire;1892.0;1851-1900;prosa letteraria;['quell  uomo era il nembo che si condensa per esplodere terribilmente .'];esplodere terribilmente;dieser Mann war die Wolke, die sich verdichtet, um fürchterlich zu explodieren;CU;
8587;GBterribilmente.csv;Gutenberg; Antonio Ghislanzoni;Racconti politici;1892.0;1851-1900;prosa letteraria;"['poichè tutto vuoi sapere, ti dirò tutto; e giudicherai se la mia posizione non sia terribilmente dolorosa, se io non m  abbia ragione d  essere stanco della vita!']";terribilmente doloroso;"da du alles wissen willst, werde ich dir alles sagen; und du wirst beurteilen, ob meine Lage nicht furchtbar schmerzhaft ist, ob ich nicht recht habe, lebensmüde zu sein";BU;
8589;BibItArdigo1.txt;BibIt;Roberto Ardigò;La morale dei positivisti;1892.0;1851-1900;espositivo;"['e così è tolta via anche l obiezione terribilmente speciosa, mossa contro il positivismo dai metafisici; i quali argomentano dal principio, che all atto morale è essenziale il carattere della responsabilità.']";terribilmente specioso;"und damit ist auch der furchtbar fadenscheinige Einwand der Metaphysiker gegen den Positivismus beseitigt; die von vornherein argumentieren, dass der Charakter der Verantwortlichkeit wesentlich für das moralische Handeln ist";NU;
8594;GBterribilmente.csv;Gutenberg; Antonio Ghislanzoni;Libro segreto;1892.0;1851-1900;prosa letteraria;['la leonessa ferita ruggì terribilmente , e tutta l  assemblea mascolina n  ebbe terrore.'];ruggire terribilmente;die verwundete Löwin brüllte fürchterlich, und die ganze Männerversammlung erschrak;CU;
8595;GBterribilmente.csv;Gutenberg; Michele Lessona;Carlo Darwin;1893.0;1851-1900;prosa letteraria;['la giornata, dice egli, era terribilmente calda, e nello attraversare i boschi ogni cosa era immobile, tranne le grandi e splendide farfalle che svolazzavano'];terribilmente caldo;der Tag, sagt er, war furchtbar heiß, und beim Durchqueren des Waldes war alles still, außer den großen und prächtigen Schmetterlingen, die flatterten;NU;
8598;GBterribilmente.csv;Gutenberg; Cesare Cantù;Gli eretici d''Italia, vol. II;1894.0;1851-1900;prosa letteraria;['de medici, deplorando le vittorie de   turchi, la perdita dell  ungheria, i pericoli d  italia e francia quando terribilmente armavansi quei nemici, intanto che i cristiani compiaceansi della ruina uno dell  altro.'];terribilmente armavansi;de Medici, der die Siege der Türken beklagte, den Verlust Ungarns, die Gefahren Italiens und Frankreichs, als diese Feinde schrecklich bewaffnet waren, während die Christen sich über den Untergang des anderen freuten;CU;
8608;GBterribilmente.csv;Gutenberg; Heinrich von Treitschke;La Francia dal primo impero al 1871. Volume 1;1895.0;1851-1900;prosa letteraria;"['la furia della guerra, cantata nella georgica di virgilio in modo così terribilmente bello, imperversò ancora sulla terra dopo la morte di cesare; poi il tempio di giano chiuse le porte per molto tempo.']";terribilmente bello;die Wut des Krieges, in Virgils Georgica so furchtbar schön gesungen, wütete noch nach dem Tode Cäsars auf Erden...;BU;!
8611;GBterribilmente.csv;Gutenberg; Heinrich von Treitschke;La Francia dal primo impero al 1871. Volume 2;1895.0;1851-1900;prosa letteraria;['era riserbato al bonapartismo di oscurare tutti i predecessori, e di illustrare così terribilmente alla democrazia l  effetto a due tagli del suffragio universale, che il ministro repubblicano carnot dovè confessare'];illustrare terribilmente;es war dem Bonapartismus vorbehalten, alle Vorgänger zu verdunkeln und die zweischneidige Wirkung des allgemeinen Wahlrechts der Demokratie so schrecklich vor Augen zu führen…;BU;
8616;GBterribilmente.csv;Gutenberg; Heinrich von Treitschke;La Francia dal primo impero al 1871. Volume 2;1895.0;1851-1900;prosa letteraria;['più risibile della storia francese, a spazzare adunque gli ultimi rottami del secondo impero: sotto i nostri occhi si è terribilmente adempiuta la parola ammonitrice, che francesi di alto animo avevano da anni rivolta ai propri compatrioti: la francia'];terribilmente adempiuto;lächerlicher als die französische Geschichte, die letzten Trümmer des zweiten Kaiserreichs wegzufegen: vor unseren Augen hat sich das Mahnwort, das übermütige Franzosen jahrelang an ihre Landsleute gerichtet hatten, fürchterlich erfüllt: Frankreich;CU;
8617;GBterribilmente.csv;Gutenberg; Lewis Carroll;Le avventure d''Alice nel paese delle meraviglie;1897.0;1851-1900;prosa letteraria;['terribilmente feroce!'];terribilmente feroce;schrecklich wild;BU;
8619;it0156.txt;CLiGS Ku;Luigi Capuana;Confessione;1897.0;1851-1900;prosa letteraria;['quando però le vedeva piangere e terribilmente soffrire per le ansietà di un pericolo che le teneva sospese tra la vita e la morte e poteva produrre, tutt a un tratto, una terribile catastrofe da coinvolgere nella rovina parecchie persone   marito, figli, parenti   allora non poteva più ostinarsi a non credere.'];terribilmente soffrire;als er sie jedoch weinen sah und schrecklich unter den Ängsten einer Gefahr litt, die sie zwischen Leben und Tod schweben ließ und plötzlich eine schreckliche Katastrophe hervorrufen konnte, die viele Menschen in den Ruin zog…;CU;
8642;GBterribilmente.csv;Gutenberg; Vittorio Bersezio;La carità del prossimo;1899.0;1851-1900;prosa letteraria;['la afferrò alle braccia, le serrò i polsi e scuotendola senza un riguardo, ruggì, accostando a quello di lei il suo volto terribilmente impresso dall  ira:   sciagurata!'];;packte sie an den Armen, umklammerte ihre Handgelenke und schüttelte sie achtlos, brüllte er und brachte sein Gesicht, das schrecklich von Wut geprägt war, zu ihrem: erbärmlich;BU;
8643;GBterribilmente.csv;Gutenberg; Vittorio Bersezio;La testa della vipera;1899.0;1851-1900;prosa letteraria;['urlò terribilmente , o ch  io non mi trattengo più, e lo schiaccio come un verme.'];urlare terribilmente;er schrie fürchterlich, oder dass ich mich nicht mehr zurückhalten kann und ihn zerquetsche wie einen Wurm;CU;
8644;GBterribilmente.csv;Gutenberg; Vittorio Bersezio;La testa della vipera;1899.0;1851-1900;prosa letteraria;['ma egli era terribilmente , dolorosamente geloso di quanti accostassero la ragazza e paressero non tornarle sgraditi.'];terribilmente  geloso;aber er war schrecklich, schmerzlich eifersüchtig auf diejenigen, die sich dem Mädchen näherten…;NU;
8645;GBterribilmente.csv;Gutenberg; Vittorio Bersezio;La carità del prossimo;1899.0;1851-1900;prosa letteraria;"['era sì terribilmente turbato che lisa comprese di botto una suprema sciagura essere avvenuta; venne innanzi al padre bianca più che']";turbarsi terribilmente;er war so schrecklich aufgebracht, dass Lisa plötzlich verstand, dass ein großes Unglück eingetreten war…;CU;
8646;GBterribilmente.csv;Gutenberg; Vittorio Bersezio;La plebe, parte IV;1899.0;1851-1900;prosa letteraria;"['in quella entrava il vecchio rigattiere ebreo, la faccia terribilmente sconvolta; stampata entro la mente l  immagine del volto di sua figlia annegata che aveva visto poc  anzi.']";terribilmente sconvolto;"der alte jüdische Trödelhändler trat ein, sein Gesicht war furchtbar erschrocken; das Bild des Gesichts seiner ertrunkenen Tochter, das er gerade gesehen hatte, prägte sich in seine Gedanken ein";BU;!
8647;GBterribilmente.csv;Gutenberg; Elia Benamozegh;Storia degli Esseni: Lezioni;1899.0;1851-1900;prosa letteraria;"['un testo, sul proprio cuore dei giuranti come legge un altro; e dopo aver tutte in un fascio strette le mani ai discepoli, terribilmente prorompe con quella spaventosa imprecazione con cui i leviti sulla montagna di ebal dovevano la vendetta di dio']";terribilmente prorompere;"ein Text, auf dem eigenen Herzen der Eide, wie ein anderer liest; und nachdem er seinen Jüngern alles in einem Bündel die Hand geschüttelt hat, bricht er fürchterlich mit jenem schrecklichen Fluch aus, mit dem die Leviten auf dem Berg Ebal Gottes Rache schuldeten";CU;
8648;GBterribilmente.csv;Gutenberg; Elia Benamozegh;Storia degli Esseni: Lezioni;1899.0;1851-1900;prosa letteraria;['alla generosa apologia tace r. iosè, ma simone favella, anzi simone rugge, simone tuona e come terribilmente !'];tuonare terribilmente;R. Iosè schweigt über die großzügige Entschuldigung, aber Simone spricht, tatsächlich brüllt Simone, Simone donnert und wie furchtbar;CU;
